Sex,Age,subgroup,ME-1,ME0,ME1,ME2,ME1-4,CD,IN,IA,UE,O-LIFE total,Ishihara
1,28.58,2,-0.098106172,0.013085813,0.017172623,0.034545776,-0.00832549,20,9,6,15,50,8
1,20,1,0.032995647,-0.001777286,0.035887217,0.041503691,0.027152317,19,7,4,12,42,13
1,26.16,1,-0.014077804,0.62653886,0.345277096,0.081628196,0.259841587,21,7,8,12,48,8
1,19.75,2,0.010519193,0.043510532,0.045998009,0.026559261,0.031646749,12,6,0,8,26,12
1,20.5,1,0.007965807,0.035058153,-0.01078465,-0.004096176,0.007035784,8,10,2,13,33,15
1,20.08,1,-0.002438415,0.010102495,0.016875565,0.040619018,0.016289666,21,8,12,10,51,12
1,20.16,2,-0.021928965,0.002586282,0.020074585,0.003967859,0.00117494,18,5,13,12,48,14
1,19.75,2,0.004526207,-0.010678689,-0.015728687,0.019794914,-0.000521564,10,4,8,9,31,14
1,23.41,1,0.030016648,0.043784089,0.045158807,0.050234366,0.042298477,15,9,4,12,40,12
1,19.92,2,0.144164849,-0.272947683,0.150314601,0.367752302,0.097321017,15,12,3,11,41,16
0,43.75,2,0.127708552,0.025351622,-0.003088191,0.056749671,0.051680414,20,9,1,10,40,13
1,20.16,2,0.015972419,0.022666236,0.031475252,0.019882436,0.022499086,18,3,4,11,36,13
0,21.25,1,0.039878177,0.02671483,0.043325979,-0.023464268,0.02161368,13,11,0,10,34,10
1,19.58,2,0.005492505,0.022134423,0.030675252,0.037405649,0.023926957,4,8,3,7,22,11
1,22.16,2,-0.616212635,0.386966047,-0.407177508,-0.431278789,-0.266925721,18,4,6,10,38,11
1,19.58,2,0.015184465,0.033666468,0.04838907,0.055914348,0.038288588,5,10,0,2,17,14
1,29.58,1,0.004826883,0.021678274,0.027794687,0.017159314,0.017864789,22,8,10,13,53,12
1,20,2,0.015529295,0.014456728,0.01522528,-0.000785922,0.011106345,12,3,1,2,18,15
1,20.16,1,0.028618441,0.019226619,0.05656532,0.022229933,0.031660078,23,8,9,10,50,15
1,20.25,1,-0.009962672,0.171825369,0.010250301,0.01310091,0.046303477,7,0,4,2,13,15
1,19.67,2,-0.014790686,-0.006826059,0.018715136,0.000978951,-0.000480665,21,11,4,21,57,11
1,20.16,2,0.027517292,0.027649731,0.034541389,0.025924905,0.028908329,22,4,4,17,47,14
1,19.75,2,-0.003381202,0.008769895,0.020677152,0.025783044,0.012962222,19,10,5,16,50,14
1,19.58,1,0.004666244,0.018113995,-0.000877549,0.013791077,0.008923442,13,7,5,12,37,11
0,19.75,2,0.000405352,0.022836554,0.009771684,0.044882142,0.019473933,8,9,1,15,33,13
1,19.92,2,-0.012668977,0.006936625,0.013432955,0.002560439,0.002565261,17,4,4,9,34,10
1,19.58,1,0.015542474,0.023435779,0.038601025,0.041560024,0.029784826,11,9,1,6,27,12
1,22.83,1,0.029981245,0.008094021,0.011120882,0.038994953,0.022047775,21,5,9,12,47,12
1,22.16,1,-0.003909796,0.01973553,0.031080087,0.033041677,0.019986875,18,4,7,14,43,12
1,20.08,2,0.021978298,0.02301111,0.032349469,0.014593526,0.022983101,13,4,6,12,35,15
1,23.08,1,0.007884492,0.006473069,0.037951602,0.026096278,0.01960136,17,3,8,3,31,1
1,27.08,2,0.007758789,0.015182843,0.020244682,0.016607552,0.014948466,18,9,1,10,38,16
1,20.33,1,0.011565651,0.002637194,0.009241309,0.016888427,0.010083145,12,8,2,16,38,10
1,21.16,1,-0.00820849,0.021300315,0.030250556,0.033426222,0.019192151,17,1,17,5,40,9
1,21.66,1,0.032232426,0.029169913,0.018754625,0.028329306,0.027121567,0,4,3,2,9,12
1,21.33,1,0.000164052,-0.00464999,0.032467185,-0.020432669,0.001887145,20,16,5,19,60,15
1,20.58,2,-0.021607942,0.017702182,0.021839157,0.016409898,0.008585824,17,8,2,10,37,11
